Year,Name of Dam,تراز انتهای سال آبی,تراز ابتدای سال آبی,حجم انتهای سال آبی,حجم ابتدای سال آبی,ورودی,سایر,كل,نشتي,پمپاژ,زهكش,تبخير,تخلیه رسوب,دريچه آبگيري,سرريز,کل,Type of Use,ID,Value,sharestan
1398-99,سد چالي دره ,97.07,98.12,0.769,0.9034,0.633,0,0.5348,0.0077,0,0,0,0.1328,0.5603,0,0.712,صنعتي,3,0.116,مشهد
1398-99,سد دولت آباد ,1023.5,1023.5,1.2,1.2,12.09,0,0,0,0,0,0.0709,6.9076,0,5.2002,12.192,صنعتي,3,0,مشهد
1399-00,سد طرق,1204.3,1214.45,14.47,28.69,6.97,0.329,18.6915,0,0,0,0.079,0,18.778,0,18.857,صنعتي,4,0,مشهد
1399-00,سد كارده,1278.48,1284.54,4.85,9.74,9.49,3.1391,14.5793,0,0,0,0.139,0,14.705,0,14.844,صنعتي,3,0,مشهد
1399-00,سد ارداک,1279.34,1290.08,9.84,22.18,16.11,0,27.1064,0,0,0,0.704,0,27.15,0,27.854,صنعتي,3,0.4163,مشهد
1399-00,سد چالي دره ,92.02,92.02,0.38,0.77,0.63,0.0053,0.9471,0,0,0,0,0.006,0.961,0,0.967,صنعتي,3,0,مشهد
1399-00,سد دولت آباد ,1016.2,1023.5,0.59,1.2,5.33,0,0.8016,0,0,0,0,3.49,0.792,1.643,5.925,صنعتي,3,0,مشهد
1400-01,سد طرق,1197.62,1204.29,8.43,14.46,1.67,0.3406,6.65,0,0,0,0,0,6.6285,0,6.629,صنعتي,4,0,مشهد
1400-01,سد كارده,1278.09,1278.43,4.59,4.81,6.63,1.5339,6.5934,0,0,0,0.0443,0,6.5948,0,6.6391,صنعتي,3,0,مشهد
1400-01,سد ارداک,1279.22,1279.3,9.73,9.8,11.21,0,10.364,0,0,0,0.0002,0,10.3547,0,10.3549,صنعتي,3,0.5008,مشهد
1400-01,سد چالي دره ,93.95,92,0.53,0.38,0.73,0,0.6639,0,0,0,0,0.0648,0.6643,0,0.7291,صنعتي,3,0,مشهد
1400-01,سد دولت آباد ,1014.8,1016.2,0.49,0.59,6.53,0,1.719,0,0,0,0.0798,3.6003,1.683,1.062,6.4251,صنعتي,3,0,مشهد
1401-02,سد طرق,1186.26,1197.62,2.5895,8.43,0.96,0.3785,6.264,0,0,0,0.0046,0,6.218,0,6.2226,صنعتي,4,0,مشهد
1401-02,سد كارده,1272.89,1278.09,1.768,4.59,3.19,0.2278,5.679,0,0,0,0,0,5.6933,0,5.6933,صنعتي,3,0,مشهد
1401-02,سد ارداک,1270.6,1279.22,3.916,9.73,7.08,0.2883,11.9186,0,0,0,0.9758,0,11.9169,0,12.8927,صنعتي,3,0.3159,مشهد
1401-02,سد چالي دره ,94.24,93.95,0.5502,0.53,0.823,0,0.7811,0,0,0,0,0.0129,0.7811,0,0.794,صنعتي,3,0,مشهد
1401-02,سد دولت آباد ,1015.95,1014.8,0.5741,0.49,4.69,0,0.7589,0,0,0,0.0688,3.677,0.7589,0,4.5047,صنعتي,3,0,مشهد
1402-03,سد طرق,1190.39,1186.26,4.06,2.59,6.2,0.0976,4.8248,0,0,0,0,0,4.8422,0,4.8422,صنعتي,4,0.0003,مشهد
1402-03,سد كارده,1275.48,1272.84,3.05,1.75,4.98,0,3.376,0,0,0,0,0,3.3923,0,3.3923,صنعتي,3,0,مشهد
1402-03,سد ارداک,1274.36,1270.55,6.05,3.89,10.2,0.0624,7.0847,0,0,0,0.1129,0,7.0837,0,7.1966,صنعتي,3,0.094,مشهد
1402-03,سد چالي دره ,97.35,94.18,0.8,0.55,0.728,0,0.5356,0,0,0,0,0,0.5356,0,0.5356,صنعتي,3,0,مشهد
1402-03,سد دولت آباد ,1018.6,1015.95,0.78,0.57,8.51,0,0.5379,0,0,0,0.0531,6.5774,0.5379,1.1257,8.2941,صنعتي,3,0,مشهد
